Hours from midnight,Holding Position,TASCAM No.,Weather,Wind,Temperature,Background Noise,Population Density,Distance from centre,Urban degree,Min Frequency,Max Frequency,Average Syllable Length,Average Time Between Syllables,Number of Syllables Used,,,,,,
17.6,B,1,light rain, gentle breeze,11,45.9,7.4,8312,rural,1072.6,4720.4,2.326,4.105,3,,,,,,
18.2,B,1,light rain, gentle breeze,11,47.8,7.4,8298,rural,1314.9,8192.9,2.188,6.192,3,,,,,,
17.87,B,1,light rain, gentle breeze,10,49.1,7.4,8213,rural,1416,9811.2,2.407,4.301,4,,,,,,
18.2,B,1,light rain, light wind,9,46.8,7.4,8224,rural,1215.8,4434.4,2.198,3.575,5,,,,,,
18.63,B,1,light rain, light wind,9,49.3,7.4,8143,rural,1314.9,5158.5,2.631,5.084,6,,,,,,
10.55,B,2,thick cloud, gentle breeze,12,58.5,54.2,2558,urban,1533.9,9395.2,4.387,13.302,3,,,,,,
10.82,B,2,thick cloud, gentle breeze,12,51.4,54.2,2458,urban,2876.1,9395.2,2.021,4.844,7,,,,,,
14.93,B,3,light rain, gentle breeze,10,54,107.9,3739,semi-urban,1399.2,12400.1,1.589,3.253,3,,,,,,
15.5,B,3,light rain, gentle breeze,7,50.7,67.4,3848,semi-urban,1495.7,14378.3,2.755,2.798,12,,,,,,
15.7,B,3,light rain, gentle breeze,7,54.2,47.3,3818,semi-urban,2122.9,9070.8,4.974,5.371,3,,,,,,
15.82,B,3,light rain, gentle breeze,7,56.1,47.3,3839,semi-urban,1399.2,12737.8,2.811,3.29,9,,,,,,
16.08,B,3,light rain, gentle breeze,7,42.7,44.2,4006,semi-urban,1273.4,5160.6,2.343,3.487,14,,,,,,
12.33,P,2,sunny intervals, light wind,10,42,16.2,3413,urban,2109.1,8820,2.254,5.338,7,,,,,,
12.38,B,2,sunny intervals, light wind,10,46.1,16.2,3503,semi-urban,1917.4,8244.8,1.509,4.1,16,,,,,,
12.62,B,2,sunny intervals, light wind,10,50.7,16.2,3456,urban,1917.4,9011.7,2.64,7.704,7,,,,,,
12.78,B,2,sunny intervals, light wind,11,45.9,16.2,3485,urban,2300.9,15914.3,1.459,6.357,2,,,,,,
12.92,B,2,sunny intervals, light wind,11,43.8,16.2,3411,urban,2109.1,8628.3,1.809,9.354,6,,,,,,
19.03,B,1,sunny intervals, light wind,7,45.2,7.4,8091,rural,1303.8,5386.7,2.573,5.462,2,,,,,,
